Sample	Type	Subtype	Color	Color2	MeanMethylation
BP_venous_blood_S006XE53_mature_eosinophil_DiseaseFree	Myeloid	Eosinophil	red	'#FF7D7D'	0.804301
BP_venous_blood_S00V6553_mature_eosinophil_DiseaseFree	Myeloid	Eosinophil	red	'#FF7D7D'	0.770109
BP_cord_blood_C00184A3bs_mature_neutrophil_DiseaseFree	Myeloid	Neutrophil	red	'#FF0000'	0.850635
BP_bone_marrow_S00JJRA1_neutrophilic_myelocyte_DiseaseFree	Myeloid	Neutrophil	red	'#FF0000'	0.84772
BP_bone_marrow_S00VCUA1_neutrophilic_myelocyte_DiseaseFree	Myeloid	Neutrophil	red	'#FF0000'	0.844594
BP_venous_blood_S00K5EA1_mature_neutrophil_DiseaseFree	Myeloid	Neutrophil	red	'#FF0000'	0.843233
BP_venous_blood_S00FXFA1_mature_neutrophil_DiseaseFree	Myeloid	Neutrophil	red	'#FF0000'	0.830788
BP_bone_marrow_S00JE0A1_neutrophilic_myelocyte_DiseaseFree	Myeloid	Neutrophil	red	'#FF0000'	0.826688
BP_venous_blood_S00FWHA1_mature_neutrophil_DiseaseFree	Myeloid	Neutrophil	red	'#FF0000'	0.826007
BP_bone_marrow_S00VFOA1_segmented_neutrophil_of_bone_marrow_DiseaseFree	Myeloid	Neutrophil	red	'#FF0000'	0.826654
BP_venous_blood_S00TC1A1_mature_neutrophil_DiseaseFree	Myeloid	Neutrophil	red	'#FF0000'	0.826343
BP_cord_blood_C004GD51_mature_neutrophil_DiseaseFree	Myeloid	Neutrophil	red	'#FF0000'	0.823119
BP_venous_blood_C001UYA1bs_mature_neutrophil_DiseaseFree	Myeloid	Neutrophil	red	'#FF0000'	0.819248
BP_bone_marrow_S00JMLA1_band_form_neutrophil_DiseaseFree	Myeloid	Neutrophil	red	'#FF0000'	0.821038
BP_bone_marrow_S00JNJA1_segmented_neutrophil_of_bone_marrow_DiseaseFree	Myeloid	Neutrophil	red	'#FF0000'	0.821877
BP_bone_marrow_S00VEQA1_band_form_neutrophil_DiseaseFree	Myeloid	Neutrophil	red	'#FF0000'	0.819555
BP_venous_blood_S00K7AA1_mature_neutrophil_DiseaseFree	Myeloid	Neutrophil	red	'#FF0000'	0.817478
BP_bone_marrow_S00JKPA1_neutrophilic_metamyelocyte_DiseaseFree	Myeloid	Neutrophil	red	'#FF0000'	0.813399
BP_bone_marrow_S00JGXA1_band_form_neutrophil_DiseaseFree	Myeloid	Neutrophil	red	'#FF0000'	0.814558
BP_venous_blood_C0011IA3bs_mature_neutrophil_DiseaseFree	Myeloid	Neutrophil	red	'#FF0000'	0.812861
BP_bone_marrow_S00JHVA1_segmented_neutrophil_of_bone_marrow_DiseaseFree	Myeloid	Neutrophil	red	'#FF0000'	0.810764
BP_venous_blood_S00K88A1_mature_neutrophil_DiseaseFree	Myeloid	Neutrophil	red	'#FF0000'	0.80866
BP_bone_marrow_S00JFZA1_neutrophilic_metamyelocyte_DiseaseFree	Myeloid	Neutrophil	red	'#FF0000'	0.800737
BP_venous_blood_C000S5A2bs_mature_neutrophil_DiseaseFree	Myeloid	Neutrophil	red	'#FF0000'	0.797095
BP_bone_marrow_S00VDSA1_neutrophilic_metamyelocyte_DiseaseFree	Myeloid	Neutrophil	red	'#FF0000'	0.817713
BP_venous_blood_C0010KA1bs_mature_neutrophil_DiseaseFree	Myeloid	Neutrophil	red	'#FF0000'	0.797163
BP_cord_blood_S00CP651_conventional_dendritic_cell_DiseaseFree	Myeloid	DendriticCell	red	'#A30D0D'	0.853478
BP_cord_blood_S00D7151_conventional_dendritic_cell_DiseaseFree	Myeloid	DendriticCell	red	'#A30D0D'	0.849065
