Sample	subtype2	subtype	tissue	color
REMC_E012_hESC_Derived_CD56+_Ectoderm_Cultured_Cells	hESC	ESC.derived.ectoderm	Cellline	'#FF7D7D'
REMC_E024_4star	4star	4star	Cellline	'#FF0000'
REMC_E004_H1_BMP4_Derived_Mesendoderm_Cultured_Cells	H1	ESC.derived.mesendoderm	Cellline	'#A30D0D'
REMC_E008_H9_Cell_Line	H9	H9	Cellline	'#602E01'
REMC_E003_H1_Cell_Line	H1	H1	Cellline	'#A37857'
REMC_E007_H1_Derived_Neuronal_Progenitor_Cultured_Cells	H1	ESC.derived.ectoderm	Cellline	'#FF7D7D'
methbase_Lister_2009_Human_H1ESC	H1	H1	Cellline	'#A37857'
REMC_E022_iPS_DF_19.11_Cell_Line	iPSC	iPSC	Cellline	'#FF6700'
REMC_E021_iPS_DF_6.9_Cell_Line	iPSC	iPSC	Cellline	'#FF6700'
methbase_Lister_2011_Human_IMR90iPSC	IMR90	iPSC	Cellline	'#FF6700'
methbase_Lister_2011_Human_ADSiPSC	iPSC	iPSC	Cellline	'#FF6700'
Ziller_GSM1112848_HUES64_derived_CD184_311	HUES64	ESC.derived.endoderm	Cellline	'#FFB55C'
REMC_E016_HUES64_Cell_Line	HUES64	HUES64	Cellline	'#FCE017'
methbase_Lister_2011_Human_FFiPSC197	iPSC	iPSC	Cellline	'#FF6700'
REMC_E011_hESC_Derived_CD184+_Endoderm_Cultured_Cells	hESC	ESC.derived.endoderm	Cellline	'#FFB55C'
REMC_E005_H1_BMP4_Derived_Trophoblast_Cultured_Cells	H1	ESC.derived.trophoblast	Cellline	'#9AC48A'
REMC_E013_hESC_Derived_CD56+_Mesoderm_Cultured_Cells	hESC	ESC.derived.mesoderm	Cellline	'#82FC56'
methbase_Lister_2011_Human_FFiPSC1911BMP4	iPSC	iPSC	Cellline	'#FF6700'
REMC_E053_Neurosphere_Cultured_Cells_Cortex_Derived	Neurosphere	Neurosphere	Cellline	'#1FBF82'
REMC_E054_Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	Neurosphere	Neurosphere	Cellline	'#1FBF82'
REMC_E006_H1_Derived_Mesenchymal_Stem_Cells	H1	ESC.derived.mesoderm	Cellline	'#82FC56'
REMC_E017_IMR90_Cell_Line	IMR90	Fibroblast	Cellline	'#036D03'
methbase_Lister_2009_Human_IMR90	IMR90	Fibroblast	Cellline	'#036D03'
methbase_Heyn_2012_Human_BCell-ICF	ICF	ICF	Cellline	'#43B9F9'
Ziller_GSM1204464_1502_IMR_90_304071	IMR90	Fibroblast	Cellline	'#036D03'
methbase_Lister_2011_Human_ADSAdipose	ADS	ADS.derived	Cellline	'#002BFF'
methbase_Lister_2011_Human_ADS	ADS	ADS	Cellline	'#83FFFF'
methbase_Lister_2011_Human_FF	FF	Fibroblast	Cellline	'#036D03'
methbase_Hon_2012_Human_HMEC	HMEC	Breast	Cellline	'#AA059F'
methbase_Heyn_2012_Human_BCell-Healthy	Bcell	BCell	Cellline	'#C1B62B'
Ziller_GSM1204463_1500_HepG2_304072	HepG2	LiverCancer	Cellline	'#A983F2'
methbase_Hon_2012_Human_HCC1954	HCC1954	BreastCancer	Cellline	'#7E2AD8'
