SampleName	fastCpG	slowCpG	Tissue
CHP126_AUTONOMIC_GANGLIA	0.474255078	0.808700054	AUTONOMIC_GANGLIA
CHP212_AUTONOMIC_GANGLIA	0.497630892	0.855099977	AUTONOMIC_GANGLIA
IMR32_AUTONOMIC_GANGLIA	0.633462329	0.873964749	AUTONOMIC_GANGLIA
KELLY_AUTONOMIC_GANGLIA	0.399804	0.66955358	AUTONOMIC_GANGLIA
KPNRTBM1_AUTONOMIC_GANGLIA	0.574683468	0.888109058	AUTONOMIC_GANGLIA
KPNSI9S_AUTONOMIC_GANGLIA	0.376593624	0.679679918	AUTONOMIC_GANGLIA
KPNYN_AUTONOMIC_GANGLIA	0.528442534	0.825999611	AUTONOMIC_GANGLIA
MHHNB11_AUTONOMIC_GANGLIA	0.415056296	0.781537942	AUTONOMIC_GANGLIA
NB1_AUTONOMIC_GANGLIA	0.333157919	0.668883663	AUTONOMIC_GANGLIA
NH6_AUTONOMIC_GANGLIA	0.211604808	0.551648984	AUTONOMIC_GANGLIA
SIMA_AUTONOMIC_GANGLIA	0.401497015	0.749958699	AUTONOMIC_GANGLIA
SKNAS_AUTONOMIC_GANGLIA	0.2864379	0.700620859	AUTONOMIC_GANGLIA
SKNBE2_AUTONOMIC_GANGLIA	0.642356388	0.880250348	AUTONOMIC_GANGLIA
SKNDZ_AUTONOMIC_GANGLIA	0.300070204	0.596282764	AUTONOMIC_GANGLIA
SKNFI_AUTONOMIC_GANGLIA	0.301807269	0.633347025	AUTONOMIC_GANGLIA
SKNSH_AUTONOMIC_GANGLIA	0.305394538	0.683422357	AUTONOMIC_GANGLIA
HUCCT1_BILIARY_TRACT	0.129396789	0.579564528	BILIARY_TRACT
HUH28_BILIARY_TRACT	0.083465748	0.247230391	BILIARY_TRACT
SNU1079_BILIARY_TRACT	0.258039146	0.602557598	BILIARY_TRACT
SNU1196_BILIARY_TRACT	0.192547985	0.756020098	BILIARY_TRACT
SNU245_BILIARY_TRACT	0.101345791	0.719941263	BILIARY_TRACT
SNU308_BILIARY_TRACT	0.237987444	0.513212594	BILIARY_TRACT
SNU478_BILIARY_TRACT	0.182318978	0.779763129	BILIARY_TRACT
SNU869_BILIARY_TRACT	0.099178261	0.575337784	BILIARY_TRACT
A673_BONE	0.308947059	0.823098896	BONE
CADOES1_BONE	0.216321239	0.770588691	BONE
G292CLONEA141B1_BONE	0.357123789	0.815836173	BONE
HOS_BONE	0.26892243	0.825091858	BONE
HS706T_BONE	0.168327174	0.352280231	BONE
MG63_BONE	0.358903614	0.830810053	BONE
MHHES1_BONE	0.118725333	0.528664358	BONE
OUMS27_BONE	0.210707612	0.645579734	BONE
RDES_BONE	0.191482533	0.670163209	BONE
SAOS2_BONE	0.163402535	0.375827681	BONE
SJSA1_BONE	0.197839837	0.739368905	BONE
SKES1_BONE	0.245415421	0.651342524	BONE
SKNMC_BONE	0.296735455	0.680834517	BONE
SW1353_BONE	0.161324201	0.363395472	BONE
TC71_BONE	0.49763518	0.809323451	BONE
U2OS_BONE	0.216851261	0.680943432	BONE
AU565_BREAST	0.125607732	0.247275915	BREAST
BT20_BREAST	0.418099043	0.764508942	BREAST
BT474_BREAST	0.540858657	0.853878956	BREAST
BT483_BREAST	0.487674146	0.714719137	BREAST
BT549_BREAST	0.194091324	0.658585318	BREAST
CAL120_BREAST	0.193167611	0.727810012	BREAST
CAL51_BREAST	0.113360494	0.694601667	BREAST
CAL851_BREAST	0.088539542	0.345459972	BREAST
CAMA1_BREAST	0.411139884	0.839799368	BREAST
DU4475_BREAST	0.545054922	0.824255057	BREAST
EFM19_BREAST	0.16404771	0.427667541	BREAST
EFM192A_BREAST	0.242064609	0.537524117	BREAST
HCC1143_BREAST	0.377257005	0.829464735	BREAST
HCC1187_BREAST	0.384402564	0.588930124	BREAST
HCC1395_BREAST	0.319075904	0.827199517	BREAST
HCC1419_BREAST	0.193483643	0.489429389	BREAST
HCC1428_BREAST	0.310856604	0.679068044	BREAST
HCC1500_BREAST	0.232146734	0.520185561	BREAST
HCC1569_BREAST	0.1912205	0.646477435	BREAST
HCC1599_BREAST	0.313239344	0.775984649	BREAST
HCC1806_BREAST	0.174580857	0.550574512	BREAST
HCC1937_BREAST	0.35342439	0.857608439	BREAST
HCC1954_BREAST	0.25026875	0.57187684	BREAST
HCC202_BREAST	0.210352941	0.387448651	BREAST
HCC2157_BREAST	0.823019219	0.928443019	BREAST
HCC2218_BREAST	0.379425862	0.797584207	BREAST
HCC38_BREAST	0.127093739	0.649330518	BREAST
HCC70_BREAST	0.118263177	0.560150354	BREAST
HDQP1_BREAST	0.150022321	0.433904411	BREAST
HMC18_BREAST	0.116323982	0.635419615	BREAST
HS578T_BREAST	0.147773188	0.367680745	BREAST
JIMT1_BREAST	0.335316667	0.476743633	BREAST
KPL1_BREAST	0.354523396	0.707482968	BREAST
MCF7_BREAST	0.253318103	0.668109264	BREAST
MDAMB134VI_BREAST	0.507494907	0.871261057	BREAST
MDAMB157_BREAST	0.127771806	0.356168246	BREAST
MDAMB175VII_BREAST	0.646654733	0.88407143	BREAST
MDAMB231_BREAST	0.117812222	0.52526205	BREAST
MDAMB361_BREAST	0.322896392	0.684090178	BREAST
MDAMB415_BREAST	0.081363248	0.255813284	BREAST
MDAMB436_BREAST	0.29912028	0.681572675	BREAST
MDAMB453_BREAST	0.274469492	0.791813852	BREAST
MDAMB468_BREAST	0.169826396	0.51672619	BREAST
SKBR3_BREAST	0.147670782	0.396347642	BREAST
T47D_BREAST	0.147566845	0.370216925	BREAST
UACC812_BREAST	0.438760569	0.77375465	BREAST
UACC893_BREAST	0.267135429	0.552352538	BREAST
ZR751_BREAST	0.382468617	0.7551263	BREAST
ZR7530_BREAST	0.259317619	0.741394871	BREAST
42MGBA_CENTRAL_NERVOUS_SYSTEM	0.197269397	0.629241237	CENTRAL_NERVOUS_SYSTEM
8MGBA_CENTRAL_NERVOUS_SYSTEM	0.161162866	0.410829976	CENTRAL_NERVOUS_SYSTEM
A172_CENTRAL_NERVOUS_SYSTEM	0.271688263	0.599169673	CENTRAL_NERVOUS_SYSTEM
AM38_CENTRAL_NERVOUS_SYSTEM	0.100696244	0.394234663	CENTRAL_NERVOUS_SYSTEM
BECKER_CENTRAL_NERVOUS_SYSTEM	0.124802344	0.524909235	CENTRAL_NERVOUS_SYSTEM
CAS1_CENTRAL_NERVOUS_SYSTEM	0.168202193	0.580439577	CENTRAL_NERVOUS_SYSTEM
CCFSTTG1_CENTRAL_NERVOUS_SYSTEM	0.125843725	0.711887948	CENTRAL_NERVOUS_SYSTEM
D283MED_CENTRAL_NERVOUS_SYSTEM	0.384869295	0.791419204	CENTRAL_NERVOUS_SYSTEM
D341MED_CENTRAL_NERVOUS_SYSTEM	0.356783321	0.828781662	CENTRAL_NERVOUS_SYSTEM
DAOY_CENTRAL_NERVOUS_SYSTEM	0.103129482	0.36079002	CENTRAL_NERVOUS_SYSTEM
DBTRG05MG_CENTRAL_NERVOUS_SYSTEM	0.124533202	0.527401952	CENTRAL_NERVOUS_SYSTEM
DKMG_CENTRAL_NERVOUS_SYSTEM	0.269100837	0.712207738	CENTRAL_NERVOUS_SYSTEM
GAMG_CENTRAL_NERVOUS_SYSTEM	0.05601015	0.331098944	CENTRAL_NERVOUS_SYSTEM
GB1_CENTRAL_NERVOUS_SYSTEM	0.104184585	0.49903152	CENTRAL_NERVOUS_SYSTEM
GI1_CENTRAL_NERVOUS_SYSTEM	0.150241956	0.451099312	CENTRAL_NERVOUS_SYSTEM
GMS10_CENTRAL_NERVOUS_SYSTEM	0.256362191	0.631064238	CENTRAL_NERVOUS_SYSTEM
GOS3_CENTRAL_NERVOUS_SYSTEM	0.339219262	0.783256148	CENTRAL_NERVOUS_SYSTEM
